index,name,psnr,mae,rmse,ssim,corr,theta_l2,uncertainty,warp_rgb_mae,selection_role
15,127,14.481276512145996,0.11572758108377457,0.18877138197422028,0.5030291676521301,0.7816443763781441,0.050001852214336395,0.6878451108932495,0.10270313918590546,
16,188,15.547367095947266,0.10186545550823212,0.16696737706661224,0.4904385507106781,0.7649158203091743,0.03766639530658722,0.7049587368965149,0.10474729537963867,
17,405,17.378318786621094,0.07877040654420853,0.13523341715335846,0.5536836385726929,0.8995508633227716,0.0305307786911726,0.6995952129364014,0.07882825285196304,
18,447,14.646827697753906,0.1149197369813919,0.1852075159549713,0.4961969256401062,0.8074425506936412,0.037804313004016876,0.6937049031257629,0.14836612343788147,
19,76,16.6734619140625,0.09063943475484848,0.14666512608528137,0.5310733914375305,0.8205922326777048,0.023190587759017944,0.7056006789207458,0.09734432399272919,
20,428,18.064298629760742,0.06954695284366608,0.12496404349803925,0.6700476408004761,0.9346845882130324,0.0269318874925375,0.6937785148620605,0.04399469122290611,
21,219,18.5209903717041,0.06669969856739044,0.11856335401535034,0.6230983734130859,0.9268355141622383,0.025052152574062347,0.7098148465156555,0.12655435502529144,
22,328,17.038930892944336,0.07805727422237396,0.1406220644712448,0.585842490196228,0.8920200925575024,0.022886669263243675,0.7033488750457764,0.10374743491411209,
23,226,18.820262908935547,0.06193723529577255,0.11454784125089645,0.6538202166557312,0.9152841823213939,0.06752432882785797,0.6833648681640625,0.12225078791379929,psnr_quantile_6_of_6
24,402,17.436180114746094,0.08040014654397964,0.13433557748794556,0.5863736867904663,0.8933505336511841,0.027091054245829582,0.7109890580177307,0.12745831906795502,
25,93,17.873294830322266,0.0718952864408493,0.1277424395084381,0.5995079874992371,0.9015478894654125,0.04269265756011009,0.706142246723175,0.06599064916372299,
26,206,18.12910270690918,0.06878192722797394,0.12403518706560135,0.6233693361282349,0.9228353484453844,0.0332694947719574,0.7056255340576172,0.11476784199476242,
27,382,17.363117218017578,0.0808626264333725,0.13547031581401825,0.5565744638442993,0.8664641965546903,0.0306512750685215,0.7078834772109985,0.1351049840450287,
28,455,17.369285583496094,0.07891731709241867,0.13537417352199554,0.5961326360702515,0.8489132097294919,0.04999632015824318,0.7002359628677368,0.11233123391866684,psnr_quantile_5_of_6
29,367,15.525809288024902,0.106136754155159,0.16738229990005493,0.5375608801841736,0.7611756487012576,0.02120463363826275,0.7011555433273315,0.11362667381763458,
30,329,15.315261840820312,0.11776152998209,0.17148925364017487,0.5177777409553528,0.8164274426991492,0.031030239537358284,0.7060467004776001,0.10586324334144592,
31,392,15.714312553405762,0.0853644460439682,0.16378885507583618,0.6029292345046997,0.8239981264373002,0.03106394037604332,0.695952296257019,0.12188010662794113,
32,73,16.389848709106445,0.09012876451015472,0.15153314173221588,0.5674740672111511,0.8002250876288047,0.04984143376350403,0.706456184387207,0.11305826157331467,
33,97,13.261462211608887,0.1487489640712738,0.21723352372646332,0.43609389662742615,0.7468783979966421,0.0331725999712944,0.7009231448173523,0.08459305763244629,psnr_quantile_1_of_6
34,427,16.23298454284668,0.08734218031167984,0.15429461002349854,0.5972318649291992,0.8890531234293831,0.020605282858014107,0.7076354622840881,0.13961343467235565,
35,386,17.243310928344727,0.06851083040237427,0.13735181093215942,0.6604477167129517,0.8929465649088224,0.06475717574357986,0.6833670735359192,0.09771931171417236,
36,141,15.416407585144043,0.11367654800415039,0.16950386762619019,0.38824692368507385,0.7676326979042771,0.05991365760564804,0.7025188207626343,0.09681360423564911,
37,216,14.576277732849121,0.1275315135717392,0.18671797215938568,0.4974386692047119,0.8443350750547264,0.048285383731126785,0.6918163299560547,0.08720560371875763,
38,108,17.182329177856445,0.0907684713602066,0.13831953704357147,0.5656912326812744,0.8016236235967258,0.04913634434342384,0.6973838806152344,0.14089030027389526,
39,177,15.629606246948242,0.11278116703033447,0.16539397835731506,0.4933376908302307,0.8191080899667759,0.015955224633216858,0.6990445852279663,0.11604658514261246,
40,75,15.049905776977539,0.10919191688299179,0.1768091320991516,0.4729387164115906,0.8202700375144438,0.041258715093135834,0.699414849281311,0.10679599642753601,
